#	имя	Вес		D	s
587	273x7	45.92	61.58	273	7
588	273x8	52.28	70.62	273	8
589	273x9	58.59	79.73	273	9
590	325x4	31.66	41.34	325	4
591	325x4.5	35.57	46.58	325	4.5
592	325x5	39.46	51.84	325	5
593	325x5.5	43.34	57.11	325	5.5
594	325x6	47.2	62.39	325	6
595	325x7	54.89	73.01	325	7
596	325x8	62.54	83.69	325	8
597	325x9	70.14	94.44	325	9
598	355.6x4	34.68	45.19	355.6	4
599	355.6x4.5	38.96	50.91	355.6	4.5
600	355.6x5	43.23	56.64	355.6	5
601	355.6x5.5	47.49	62.39	355.6	5.5
602	355.6x6	51.73	68.16	355.6	6
603	355.6x7	60.18	79.74	355.6	7
604	355.6x8	68.58	91.38	355.6	8
605	355.6x9	76.93	103.09	355.6	9
606	355.6x10	85.23	114.86	355.6	10
607	377x4	36.79	47.88	377	4
608	377x4.5	41.34	53.93	377	4.5
609	377x5	45.87	60	377	5
610	377x5.5	50.39	66.09	377	5.5
611	377x6	54.89	72.19	377	6
612	377x7	63.87	84.45	377	7
613	377x8	72.8	96.76	377	8
614	377x9	81.68	109.14	377	9
615	377x10	90.51	121.58	377	10
616	406.4x4	39.69	51.57	406.4	4
617	406.4x4.5	44.6	58.09	406.4	4.5
618	406.4x5	49.49	64.62	406.4	5
619	406.4x5.5	54.38	71.17	406.4	5.5
620	406.4x6	59.25	77.74	406.4	6
621	406.4x7	68.95	90.91	406.4	7
622	406.4x8	78.6	104.15	406.4	8
623	406.4x9	88.2	117.45	406.4	9
624	406.4x10	97.76	130.82	406.4	10
625	406.4x11	107.26	144.24	406.4	11
626	406.4x12	116.71	157.73	406.4	12
627	426x4	41.63	54.04	426	4
628	426x4.5	46.78	60.86	426	4.5
629	426x5	51.91	67.7	426	5
630	426x5.5	57.03	74.56	426	5.5
631	426x6	62.15	81.43	426	6
632	426x7	72.33	95.22	426	7
633	426x8	82.47	109.08	426	8
634	426x9	92.55	122.99	426	9
635	426x10	102.59	136.97	426	10
636	426x11	112.58	151.02	426	11
637	426x12	122.51	165.12	426	12
638	478x5	58.32	75.87	478	5
639	478x5.5	64.09	83.54	478	5.5
640	478x6	69.84	91.23	478	6
641	478x7	81.31	106.66	478	7
642	478x8	92.72	122.15	478	8
643	478x9	104.09	137.7	478	9
644	478x10	115.41	153.31	478	10
645	478x11	126.68	168.99	478	11
646	478x12	137.9	184.73	478	12
647	530x5	64.73	84.04	530	5
648	530x5.5	71.14	92.53	530	5.5
649	530x6	77.53	101.03	530	6
650	530x7	90.28	118.09	530	7
651	530x8	102.98	135.21	530	8
652	530x9	115.63	152.4	530	9
